text,label
Please help me with my card.  It won't activate.,0
I tired but an unable to activate my card.,0
I want to start using my card.,0
How do I verify my new card?,0
I tried activating my plug-in and it didn't piece of work,0
How do i activate my card,0
Can someone assist me with activating my card?,0
My card needs to be activated.,0
I was unable to activate my card.,0
Is my card ready for use or does it need activated and if so how?,0
Help me activate my new card.,0
Do I need a photo ID to activate a my new card?,0
"I just got my new card, how do I activate it?",0
Can I have my card activated?,0
i cant seem to activate card,0
It won't let me activate my card.,0
I tried activation my card and it didn't employment,0
I want to use my card. How do I activate it?,0
Activate my card,0
Can I get some help activating my new card?,0
Is my card activated?,0
I would like to activate my card.,0
Can I call to get my card activated?,0
How can I activate my new card? I didn't recieve any information with it about how to do so.,0
How do I activate my new card I just got?,0
will you be able to activate my card,0
Can I get some help to get me card activated?,0
I want to activate my new card.,0
What would II do if I wanted to activate my new card,0
What needs to be done to activate and use a card?,0
Can I activate my card?,0
I need assistance activating my card?,0
I need assistance with activating my new card.,0
How do I get my card active?,0
What do I have to do to activate my card?,0
What is needed to activate my card?,0
How can my new card be activated?,0
Can you activate my card pls,0
How do I turn on my new card?,0
Please assist me in activating the card.,0
Would you be so kind as to activate my card? Thanks,0
I tried activating my card and it doesn't work how do I solve this problem?,0
Can I activate my card with the app?,0
"I want to start using my card, how do I activate it?",0
What is the process to activate a card,0
"Hi, would you please activate my card?",0
What do I need for activation of my card?,0
"How do I activate my card, so that I can start using it?",0
I need my card activated.,0
I would like to be assisted with the activation of my card.,0
I just received my card and I'd like to activate it.,0
can you assist me in activating my card?,0
How do I activate my card to start using it?,0
Instructions for activating card,0
What do I need to do for the card activation?,0
"I am unable to activate my card, it won't let me.",0
When are you going to activate my card?,0
I need to activate my card.,0
How can I activate my new card?,0
What do I do to activate?,0
What steps do I have to take to activate my card?,0
"My new card just arrived, how can I activate it?",0
I am having trouble activating my card.,0
My card is not able to be activated how do I get it to work?,0
I'm not able to activate my card how do I fix this problem?,0
I cannot activate my card.,0
How can I activate the new card i got?,0
how long should i wait ti activate my card,0
How do I activate a card?,0
What is the procedure for activating this card?,0
My card needs to be activated asap,0
What is the most efficient way to activate my new card?,0
I couldn't complete card activation.,0
Who do I call to activate my new card?,0
"You can activate your card in a few seconds by going to account, hitting activate, and just following the directions.",0
Tell me what I need to do to activate my card.,0
What is the process for activating a new card.,0
My card activation is failing.,0
"I need to activate my card, how is that done?",0
I would like to activate my card what do I need to do?,0
I have my card now how do I activate it?,0
How long does it take to activate my card?,0
How do I activate my card so I can start using it?,0
Explain the activation method for this card,0
Can someone assist me with activating my new card?,0
What is the process for activating my new card?,0
I would like to have assistance with activating my card.,0
Tell me how to renew my new card?,0
My new card came in.  How do I activate?,0
How do I active this card?,0
what are the steps to activate my card?,0
I have a new card and need to activate it,0
I would like to get help from someone in your customer service department with assisting me with activating my card.,0
What are the steps that I need to take to activate a new card?,0
